Marca temporal,URL del vídeo,Versión archivada,País del vídeo,Ciudad o región del vídeo,Coordenadas de geolocalización,Grado de confianza en la geolocalización,Ejemplo de publicación viral asociada al vídeo,Versión archivada de publicación viral,Claim de publicación viral,Rating aplicado a mensajes virales vinculados al vídeo,Comentarios,URL Newtral,Fecha real del vídeo (aparición en internet)
9/09/2026 12:24:23,https://video.twimg.com/amplify_video/2095862489003298816/vid/avc1/320x576/CMN37LrrihMzpq58.mp4?tag=29,https://archive.org/details/cmn-37-lrrih-mzpq-58,Marruecos,"Beni Ensar (Nador, Marruecos)","35.26677777777778, -2.924833333333333",5 - Muy alto (verificado),https://x.com/javiernegre10/status/2095862562352931322,https://archive.fo/4jVNU,"""Graban a invasores marroquíes saliendo como ratas de túneles en Ceuta, siguen llegando mientras la situación empeora cada día"".",Falso,Vídeo muy viral utilizado para extender la idea de que los migrantes están llegando a Ceuta a través de túneles subterráneos.,https://www.newtral.es/tuneles-ceuta-marroquies-video-falso/20260907/,3/09/2026
9/09/2026 12:50:08,https://video.twimg.com/amplify_video/2083008988765917184/vid/avc1/720x780/CYAhY24JejMgPvap.mp4,https://archive.org/details/cyah-y-24-jej-mg-pvap-1,Marruecos,"Beni Ensar (Nador, Marruecos)","35.26540627623779, -2.9322203052176556",5 - Muy alto (verificado),https://x.com/RadioGenoa/status/2082961682565898571,https://archive.fo/VUOen / https://archive.fo/PztoT,Disturbios en Melilla. Migrantes prenden fuego a vehículos.,Falta contexto,"Vídeo utilizado para alimentar la narrativa que acusa a migrantes de provocar disturbios en Ceuta y Melilla. Las imágenes están grabadas en territorio marroquí, aunque en una zona muy próxima al paso fronterizo de Beni Ensar.",https://www.newtral.es/disturbios-melilla-violencia-fuego-videos-nador-marruecos/20260731/,30/07/2026
9/09/2026 15:35:09,https://video.twimg.com/amplify_video/2082961708159574016/vid/avc1/1192x1490/C3wOo3LUL1hR5ck2.mp4,https://archive.org/details/ c-3w-oo-3-lul-1h-r-5ck-2-1,Marruecos,"Beni Ensar (Nador, Marruecos)","35.265175685390325, -2.9321395011117515",5 - Muy alto (verificado),https://x.com/ChadAbrazo/status/2082961819275059446,https://archive.fo/z5fkV,"""Los invasores han tomado el control de Melilla y en estos momentos están usurpando casas, robando y apedreando españoles"".",Falta contexto,"Este vídeo fue ampliamente difundido para trasladar la idea de que ""invasores marroquíes"" habían ""tomado el control de Melilla"" el pasado 30 de julio. Las imágenes de los disturbios corresponden a territorio marroquí, aunque fueron grabadas en las proximidades del paso fronterizo de Beni Ensar.",https://www.newtral.es/disturbios-melilla-violencia-fuego-videos-nador-marruecos/20260731/,30/07/2026
9/09/2026 15:47:41,https://video.twimg.com/amplify_video/2083032052077580288/vid/avc1/480x518/kPYYaONU48QVHFje.mp4?tag=29,https://archive.org/details/ kPYYaONU48QVHFje,Marruecos,"Beni Ensar (Nador, Marruecos)","35.26541747447974, -2.932238925005463",5 - Muy alto (verificado),https://x.com/jpmasespanol/status/2083032073871278545,https://archive.fo/lSXQE,"""Disturbios en las inmediaciones de Melilla"".",Falta contexto,"El vídeo muestra los disturbios del 30 de julio en territorio marroquí, en una rotonda muy próxima al paso fronterizo de Beni Ensar.",https://www.newtral.es/disturbios-melilla-violencia-fuego-videos-nador-marruecos/20260731/,30/07/2026
9/09/2026 15:55:15,https://video.twimg.com/amplify_video/2083061054834176001/vid/avc1/720x1280/pLMKS3OxRmncsaSY.mp4,https://archive.org/details/ pLMKS3OxRmncsaSY,Marruecos,"Beni Ensar (Nador, Marruecos)","35.265369404090265, -2.932147803746794",5 - Muy alto (verificado),https://x.com/GabyLob/status/2083061143510073766,https://archive.fo/KwT5q,"""Terror en España. Marroquíes queman autos, agreden y roban casas en medio de la invasión"".",Falta contexto,"Vídeo utilizado para extender la idea de supuestos disturbios protagonizados por marroquíes en la ciudad de Melilla. En realidad las imágenes están grabadas en territorio marroquí, aunque en un lugar próximo al paso fronterizo de Beni Ensar que une Marruecos con Melilla.",https://www.newtral.es/disturbios-melilla-violencia-fuego-videos-nador-marruecos/20260731/,30/07/2026
9/09/2026 16:14:25,https://video.twimg.com/amplify_video/2083137090225586176/vid/avc1/1080x1230/zFOl4a2glMpSSGu3.mp4,https://archive.org/details/zFOl4a2glMpSSGu3,Marruecos,"Ain Lhcen (Tetuán, Marruecos)","35.54778124081945, -5.555154210713671",5 - Muy alto (verificado),https://x.com/capTercio/status/2083165364670664987,https://archive.fo/S0AwP,"""Camiones cargados de personas en Marruecos"".",Verdadero,"Vídeo de camión cargado de personas en carretera de Ain Lhcen (Marruecos) en dirección a Tetuán. El lugar donde está grabado el vídeo está a 58 kilómetros de Ceuta por carretera. En otro vídeo se ve a este mismo camión siendo detenido por gendarmes marroquíes en la entrada a Tetuán, a unos 51 kilómetros de Ceuta. Sus ocupantes se bajan en este punto, según las imágenes.",https://www.newtral.es/camiones-personas-marruecos-ceuta-que-sabemos/20260802/,30/07/2026
9/09/2026 16:26:24,https://video.twimg.com/amplify_video/2082930806482210817/vid/avc1/360x640/9F_HpD38747BPl7O.mp4,https://archive.org/details/9-f-hp-d-38747-bpl-7-o,Marruecos,Tetuán (Marruecos),"35.55863629485152, -5.458142049089019",5 - Muy alto (verificado),https://x.com/TalebSahara/status/2082930831903830429,https://archive.is/407Jo,"""Me llegan estas imágenes de cómo las autoridades marroquíes vacían camiones llenos de jóvenes cerca de la frontera con Ceuta"".",Falta contexto,"El vídeo muestra a gendarmes marroquíes que paran y desalojan un camión cargado de personas que circulaba por la N-2 desde Ain Lhcen en sentido Tetuán. Las imágenes están grabadas a la entrada de Tetuán, a alrededor de 50 kilómetros de Ceuta por carretera. ",https://www.newtral.es/camiones-personas-marruecos-ceuta-que-sabemos/20260802/,30/07/2026
9/09/2026 16:42:36,https://www.tiktok.com/@angelaperezromero8/video/7678431976705051936?is_from_webapp=1&web_id=7618542682751616534,https://archive.org/details/tiktok_angelaperezromero8_7678431976705051936,Otro,Buenos Aires (Argentina),"-34.76034867021203, -58.31366829877935",5 - Muy alto (verificado),https://www.tiktok.com/@angelaperezromero8/video/7678431976705051936?is_from_webapp=1&web_id=7618542682751616534,https://archive.ph/VLQ9T,"""Inmigrantes intentando invadir una vivienda en Ceuta el 24 de agosto de 2026"".",Falso,"Un vídeo grabado en Buenos Aires, Argentina, se hace pasar como un allanamiento de una vivienda en Ceuta protagonizado por supuestos migrantes magrebíes.",https://www.newtral.es/inmigrantes-vivienda-ceuta/20260828/,26/08/2026
9/09/2026 17:12:06,https://video.twimg.com/amplify_video/2088897128877768704/vid/avc1/1024x576/H1scv3as6pb5YtFz.mp4,https://archive.org/details/h-1scv-3as-6pb-5-yt-fz,España,Ceuta (España),"35.88510998212155, -5.342350056169325",5 - Muy alto (verificado),https://x.com/Anonymous_TA/status/2088897242694341030?s=20,https://archive.ph/b2IxS,"""Así está Ceuta 18 días después de la entrada masiva. Las calles llenas de magrebíes"".",Engañoso,"Este vídeo se ha utilizado para presentar la ciudad de Ceuta totalmente tomada por migrantes ""18 días después"" del cruce masivo. En realidad, el vídeo fue grabado el 31 de julio de 2026, un día después de que se desencadenara la crisis fronteriza.",https://www.newtral.es/ceuta-colapsada-migrantes/20260828/,31/07/2026
9/09/2026 17:25:03,https://video.twimg.com/amplify_video/2093349621691043840/vid/avc1/720x1278/6gJGlIiCUJtAg1KT.mp4,https://archive.org/details/6g-jgl-ii-cujt-ag-1-kt,España,"Ibiza (Islas Baleares, España)","38.911674190569954, 1.4339139292955392",5 - Muy alto (verificado),https://x.com/Rittenreloaded/status/2093349705581211849,https://archive.ph/ugklT,"Dos policías locales registran a un joven inmigrante por intentar robar un coche en Ceuta, como se ve en este vídeo. ",Engañoso,"Este vídeo se ha relacionado con la supuesta detención de un migrante en Ceuta por haber robado un coche. En realidad, las imágenes circulan desde principios de julio ─antes del cruce masivo a Ceuta─ y están grabadas en Ibiza.",https://www.newtral.es/inmigrante-detenido-robo-coche-ceuta/20260901/,2/07/2026
